============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.23 - 15.20-s040_1
  Generated on:           Aug 21 2016  11:15:22 pm
  Module:                 processor
  Technology libraries:   fast_vdd1v0 1.0
                          abstract_models 
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

           Instance            Cells  Cell Area  Net Area   Total Area  Wireload     
          level5_dataOUT3          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT22         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT21         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT20         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT2          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT19         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT18         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT17         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT16         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT15         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT14         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT13         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT12         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT11         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT10         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT1          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT9          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT8          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT7          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT6          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT5          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT4          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT3          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT21         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT20         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT2          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT19         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT18         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT17         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT16         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT15         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT14         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT13         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT12         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT11         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT10         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT1          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT9          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT8          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT7          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT6          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT5          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT4          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT3          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT2          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT19         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT18         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT17         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT16         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT15         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT14         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT13         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT12         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT11         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT10         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT1          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT9          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT8          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT7          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT6          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT5          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT4          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT3          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT2          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT15         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT14         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT13         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT12         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT11         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT10         2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT1          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT7          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT6          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT5          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT4          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT3          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT2          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT1          2          8         0            8    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level5_dataOUT23         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT23         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_dataOUT22         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT23         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT22         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT21         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level3_dataOUT20         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT23         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT22         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT21         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT20         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT19         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT18         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT17         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level2_dataOUT16         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT9          2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT8          2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT23         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT22         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT21         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT20         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT19         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT18         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT17         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT16         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT15         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT14         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT13         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT12         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT11         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level1_dataOUT10         2          7         0            7    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          level4_AMOUNTFF          1          5         0            5    <none> (D) 
          DATA_REV9                1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV8                1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV7                1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV6                1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV5                1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV4                1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV3                1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV23               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV22               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV21               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV20               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV2                1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV19               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV18               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV17               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV16               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV15               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV14               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV13               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV12               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV11               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV10               1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
          DATA_REV1                1          5         0            5    <none> (D) 
            DFF                    1          5         0            5    <none> (D) 
        PA_MANTISSA_COMP         133        389         0          389    <none> (D) 
          layer01_gOutL1_FF       12         66         0           66    <none> (D) 
          layer01_aOutL1_FF       11         60         0           60    <none> (D) 
          layer02_gOutL2_FF        6         33         0           33    <none> (D) 
          layer02_aOutL2_FF        5         27         0           27    <none> (D) 
          layer03_gOutL3_FF        3         16         0           16    <none> (D) 
          layer03_aOutL3_FF        2         11         0           11    <none> (D) 
          layer04_gOutL4_FF        1          5         0            5    <none> (D) 
          layer04_aOutL4_FF        1          5         0            5    <none> (D) 
          layer04_CARRY_FF         1          5         0            5    <none> (D) 
          layer03_CARRY_FF         1          5         0            5    <none> (D) 
          layer02_CARRY_FF         1          5         0            5    <none> (D) 
          layer01_CARRY_FF         1          5         0            5    <none> (D) 
          level3_12                2          4         0            4    <none> (D) 
          level3_08                2          4         0            4    <none> (D) 
          level2_12                2          4         0            4    <none> (D) 
          level2_10                2          4         0            4    <none> (D) 
          level2_08                2          4         0            4    <none> (D) 
          level2_06                2          4         0            4    <none> (D) 
          level2_04                2          4         0            4    <none> (D) 
          level1_12                2          4         0            4    <none> (D) 
          level1_11                2          4         0            4    <none> (D) 
          level1_10                2          4         0            4    <none> (D) 
          level1_09                2          4         0            4    <none> (D) 
          level1_08                2          4         0            4    <none> (D) 
          level1_07                2          4         0            4    <none> (D) 
          level1_06                2          4         0            4    <none> (D) 
          level1_05                2          4         0            4    <none> (D) 
          level1_04                2          4         0            4    <none> (D) 
          level1_03                2          4         0            4    <none> (D) 
          level1_02                2          4         0            4    <none> (D) 
          level5_16                1          2         0            2    <none> (D) 
          level4_08                1          2         0            2    <none> (D) 
          level3_04                1          2         0            2    <none> (D) 
          level2_02                1          2         0            2    <none> (D) 
          level4_16                1          1         0            1    <none> (D) 
          level1_01                1          1         0            1    <none> (D) 
        PE_MANTISSA_DIFF         109        335         0          335    <none> (D) 
          IN_FF                   24        131         0          131    <none> (D) 
          level1_FF               12         66         0           66    <none> (D) 
          level2_FF                6         33         0           33    <none> (D) 
          level4_FF                2         11         0           11    <none> (D) 
          level3_FF                2         11         0           11    <none> (D) 
        PA_EXP_NORM               72        277         0          277    <none> (D) 
          level02_P_FF             8         44         0           44    <none> (D) 
          level01_P_FF             8         44         0           44    <none> (D) 
          level01_G_FF             3         16         0           16    <none> (D) 
          layer02_CARRY_FF         3         16         0           16    <none> (D) 
          layer01_gOutL1_FF        3         16         0           16    <none> (D) 
          level01_A_FF             2         11         0           11    <none> (D) 
          layer02_gOutL2_FF        2         11         0           11    <none> (D) 
          layer01_aOutL1_FF        2         11         0           11    <none> (D) 
          level02_G_FF             1          5         0            5    <none> (D) 
          level02_A_FF             1          5         0            5    <none> (D) 
          layer02_gOutL1_FF        1          5         0            5    <none> (D) 
          layer02_aOutL2_FF        1          5         0            5    <none> (D) 
          layer02_aOutL1_FF        1          5         0            5    <none> (D) 
          layer01_CARRY_FF         1          5         0            5    <none> (D) 
          level1_03                2          4         0            4    <none> (D) 
          level1_02                2          4         0            4    <none> (D) 
          level3_04                1          2         0            2    <none> (D) 
          level3_03                1          2         0            2    <none> (D) 
          level3_02                1          2         0            2    <none> (D) 
          level3_01                1          2         0            2    <none> (D) 
          level2_02                1          2         0            2    <none> (D) 
          level2_01                1          2         0            2    <none> (D) 
          level2_04                1          1         0            1    <none> (D) 
          level2_03                1          1         0            1    <none> (D) 
          level1_04                1          1         0            1    <none> (D) 
          level1_01                1          1         0            1    <none> (D) 
        level5_MANTISSB_FF        24        131         0          131    <none> (D) 
        level4_MANTISSB_FF        24        131         0          131    <none> (D) 
        level3_MANTISSB_FF        24        131         0          131    <none> (D) 
        level2_MANTISSB_FF        24        131         0          131    <none> (D) 
        level1_MANTISSB_FF        24        131         0          131    <none> (D) 
        SWAP_MANTISSB_FF          24        131         0          131    <none> (D) 
        SWAP_MANTISSA_FF          24        131         0          131    <none> (D) 
        MANTISSA_DIFF_FF          24        131         0          131    <none> (D) 
        level5_MANTISSA_FF        23        126         0          126    <none> (D) 
        level4_MANTISSA_FF        23        126         0          126    <none> (D) 
        level3_MANTISSA_FF        23        126         0          126    <none> (D) 
        level2_MANTISSA_FF        23        126         0          126    <none> (D) 
        level1_MANTISSA_FF        23        126         0          126    <none> (D) 
        level13_MANTISSA_FF       23        126         0          126    <none> (D) 
        level12_MANTISSA_FF       23        126         0          126    <none> (D) 
        MUX_MANTISSB              24         56         0           56    <none> (D) 
          MUX9                     1          2         0            2    <none> (D) 
          MUX8                     1          2         0            2    <none> (D) 
          MUX7                     1          2         0            2    <none> (D) 
          MUX6                     1          2         0            2    <none> (D) 
          MUX5                     1          2         0            2    <none> (D) 
          MUX4                     1          2         0            2    <none> (D) 
          MUX3                     1          2         0            2    <none> (D) 
          MUX22                    1          2         0            2    <none> (D) 
          MUX21                    1          2         0            2    <none> (D) 
          MUX20                    1          2         0            2    <none> (D) 
          MUX2                     1          2         0            2    <none> (D) 
          MUX19                    1          2         0            2    <none> (D) 
          MUX18                    1          2         0            2    <none> (D) 
          MUX17                    1          2         0            2    <none> (D) 
          MUX16                    1          2         0            2    <none> (D) 
          MUX15                    1          2         0            2    <none> (D) 
          MUX14                    1          2         0            2    <none> (D) 
          MUX13                    1          2         0            2    <none> (D) 
          MUX12                    1          2         0            2    <none> (D) 
          MUX11                    1          2         0            2    <none> (D) 
          MUX10                    1          2         0            2    <none> (D) 
          MUX1                     1          2         0            2    <none> (D) 
          MUX0                     1          2         0            2    <none> (D) 
          MUX23                    1          1         0            1    <none> (D) 
